start_date,end_date,the_group,state,condition_group,the_condition,age_group,covid_deaths,number_of_mentions
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Influenza and pneumonia",0-24,1569,1647
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Influenza and pneumonia",25-34,5804,6029
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Influenza and pneumonia",35-44,15080,15699
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Influenza and pneumonia",45-54,37414,38878
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Influenza and pneumonia",55-64,82668,85708
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Influenza and pneumonia",65-74,129005,133088
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Influenza and pneumonia",75-84,138503,141868
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Influenza and pneumonia",85+,121119,123018
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Influenza and pneumonia","Not stated",12,12
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Influenza and pneumonia","All Ages",531174,545947
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Chronic lower respiratory diseases",0-24,207,212
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Chronic lower respiratory diseases",25-34,459,465
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Chronic lower respiratory diseases",35-44,1118,1144
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Chronic lower respiratory diseases",45-54,3286,3398
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Chronic lower respiratory diseases",55-64,12772,13418
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Chronic lower respiratory diseases",65-74,27920,29359
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Chronic lower respiratory diseases",75-84,36068,37747
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Chronic lower respiratory diseases",85+,27866,28796
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Chronic lower respiratory diseases","Not stated",1,1
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Chronic lower respiratory diseases","All Ages",109697,114540
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Adult respiratory distress syndrome",0-24,485,485
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Adult respiratory distress syndrome",25-34,1807,1807
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Adult respiratory distress syndrome",35-44,4728,4728
